Fecha,Símbolo,Direccion,Jugada,Entrada,Stop,Riesgo,lotes,RU
2021-8-9 16:01:20,C,largo,Vela Elefante,71.11,70.995,0.115,434.78261,50
2021-8-9 16:02:07,INTC,Corto,Vela Elefante,53.91,53.98,0.07,714.28571,50
2021-8-14 18:58:41,MRK,Corto,Vela de cola,76.66,76.76,0.1,500,50
2021-8-14 18:58:46,MS,largo,Vela de cola,104.03,103.91,0.12,416.66667,50
2021-8-14 18:58:48,QCOM,largo,Vela Elefante,148.69,148.29,0.4,125,50
2021-8-16 15:37:53,C,largo,Reversa,71.78,71.43,0.35,142.85714,50
2021-8-16 15:37:54,CSCO,Corto,Vela Elefante,56.055,56.21,0.155,322.58065,50
2021-8-16 15:38:01,VZ,Corto,Vela Elefante,55.739,55.8,0.061,819.67213,50
2021-8-16 15:39:52,C,largo,Reversa,71.56,71.22,0.34,147.05882,50
2021-8-16 15:39:59,SBUX,largo,Vela de cola,116.8,116.61,0.19,263.15789,50
2021-8-16 15:39:56,VZ,Corto,Vela Elefante,55.67,55.7611,0.0911,548.84742,50
2021-8-16 15:41:52,C,largo,Reversa,71.3399,71.165,0.1749,285.87764,50
2021-8-16 15:41:56,SNAP,Corto,Vela de cola,74.3101,74.79,0.4799,104.18837,50
2021-8-16 15:44:00,C,largo,Reversa,71.21,71.09,0.12,416.66667,50
2021-8-16 15:45:56,GILD,largo,Vela de cola,71.24,71.13,0.11,454.54545,50
2021-8-16 15:45:59,XOM,largo,Reversa,55.64,55.465,0.175,285.71429,50
2021-8-16 15:47:54,AMAT,largo,Vela Elefante,131.3699,131.019,0.3509,142.49074,50
2021-8-16 15:48:00,XOM,largo,Reversa,55.515,55.36,0.155,322.58065,50
2021-8-16 15:49:59,AMAT,largo,Vela Elefante,131.79,131.2,0.59,84.74576,50
2021-8-16 15:50:01,AMD,largo,Reversa,109.28,108.94,0.34,147.05882,50
2021-8-16 15:50:00,XOM,largo,Reversa,55.51,55.38,0.13,384.61538,50
2021-8-16 15:52:02,AMD,largo,Reversa,108.98,108.33,0.65,76.92308,50
2021-8-16 15:52:02,AMD,Corto,Vela Elefante,108.33,108.98,0.65,76.92308,50
2021-8-16 15:51:53,SBUX,largo,Vela de cola,116.8,116.55,0.25,200,50
2021-8-16 15:51:54,XOM,largo,Reversa,55.477,55.31,0.167,299.4012,50
2021-8-16 15:54:02,AAPL,Corto,Vela Elefante,148.595,149.405,0.81,61.7284,50
2021-8-16 15:53:51,AMAT,Corto,Reversa,131.56,132.05,0.49,102.04082,50
2021-8-16 15:54:01,AMD,largo,Reversa,108.58,108.125,0.455,109.89011,50
2021-8-16 15:56:01,AMD,largo,Reversa,108.49,107.88,0.61,81.96721,50
2021-8-16 15:55:58,INTC,Corto,Vela de cola,53.2,53.26,0.06,833.33333,50
2021-8-16 15:58:02,AAPL,largo,Reversa,148.66,148.07,0.59,84.74576,50
2021-8-16 15:58:01,AMD,largo,Reversa,108.43,107.78,0.65,76.92308,50
2021-8-16 15:57:52,GILD,largo,Vela Elefante,71.48,71.3804,0.0996,502.00803,50
2021-8-16 15:57:52,SNAP,largo,Reversa,72.14,71.4,0.74,67.56757,50
2021-8-16 16:00:01,AMD,largo,Reversa,108.19,107.53,0.66,75.75758,50
2021-8-16 16:00:01,AMD,Corto,Vela Elefante,107.53,108.19,0.66,75.75758,50
2021-8-16 15:59:59,SNAP,largo,Reversa,71.75,70.74,1.01,49.50495,50
2021-8-16 16:02:01,AMD,largo,Reversa,107.86,107.52,0.34,147.05882,50
2021-8-16 16:01:56,INTC,Corto,Vela Elefante,53.04,53.16,0.12,416.66667,50
2021-8-16 16:01:59,MU,Corto,Vela Elefante,70.63,71.05,0.42,119.04762,50
2021-8-16 16:01:59,SNAP,largo,Reversa,71.71,71.39,0.32,156.25,50
2021-8-16 16:02:00,UAL,largo,Reversa,45.32,45.19,0.13,384.61538,50
2021-8-16 16:03:59,AMAT,largo,Vela de cola,130.96,130.46,0.5,100,50
2021-8-16 16:03:55,SNAP,largo,Reversa,71.52,71.01,0.51,98.03922,50
2021-8-16 16:05:59,MET,Corto,Vela de cola,61.55,61.66,0.11,454.54545,50
2021-8-16 16:05:58,SNAP,largo,Reversa,71.309,70.97,0.339,147.49263,50
2021-8-16 16:07:54,SNAP,largo,Reversa,71.5,71.1,0.4,125,50
2021-8-16 16:10:02,AMD,Corto,Vela Elefante,107.22,107.99,0.77,64.93506,50
2021-8-16 16:09:52,CSCO,Corto,Reversa,56.265,56.33,0.065,769.23077,50
2021-8-16 16:10:00,SNAP,largo,Reversa,71.249,70.83,0.419,119.33174,50
2021-8-16 16:11:54,CSCO,Corto,Reversa,56.3193,56.38,0.0607,823.72323,50
2021-8-16 16:11:55,SNAP,largo,Reversa,71.1599,70.7,0.4599,108.71929,50
2021-8-16 16:14:02,AAPL,Corto,Vela Elefante,147.63,148.42,0.79,63.29114,50
