Fecha,Símbolo,Direccion,Jugada,Entrada,Stop,Riesgo,lotes,RU
2021-8-3 15:34:37,AAPL,Corto,Vela Elefante,145.24,145.8,0.56,89.28571,50
2021-8-3 15:39:58,MS,Corto,Vela Elefante,95.78,96.29,0.51,98.03922,50
2021-8-5 15:34:46,TWTR,Corto,Vela Elefante,68.71,68.8,0.09,555.55556,50
2021-8-17 15:34:52,AMAT,Corto,Vela Elefante,129.38,130.4,1.02,49.01961,50
2021-8-17 15:34:52,MU,Corto,Vela Elefante,69.67,70.17,0.5,100,50
2021-8-17 15:39:53,SBUX,Corto,Vela Elefante,116.45,116.78,0.33,151.51515,50
2021-8-20 15:35:30,EBAY,largo,Vela Elefante,73.68,73.145,0.535,93.45794,50
2021-8-20 15:35:30,MRK,largo,Vela Elefante,78.6,78.22,0.38,131.57895,50
2021-8-20 15:35:30,MU,largo,Vela Elefante,70.8,70.14,0.66,75.75758,50
2021-8-23 15:34:51,AMAT,largo,Vela Elefante,129.95,128.99,0.96,52.08333,50
2021-8-23 15:34:51,C,largo,Vela Elefante,71.16,70.75,0.41,121.95122,50
2021-8-23 15:34:51,MU,largo,Vela Elefante,71.35,70.84,0.51,98.03922,50
2021-8-23 15:34:51,TWTR,largo,Vela Elefante,63.87,63.12,0.75,66.66667,50
2021-8-25 15:35:21,TWTR,Corto,Vela Elefante,63.2,63.94,0.74,67.56757,50
2021-8-25 15:35:21,UBER,Corto,Vela Elefante,40.04,40.56,0.52,96.15385,50
2021-8-26 15:35:19,INTC,Corto,Vela Elefante,53.24,53.53,0.29,172.41379,50
2021-8-30 15:34:29,SNAP,Corto,Vela Elefante,72.85,73.16,0.31,161.29032,50
2021-8-30 15:34:29,UAL,Corto,Vela Elefante,47.32,48.01,0.69,72.46377,50
2021-8-30 15:34:29,WFC,Corto,Vela Elefante,49.371,49.81,0.439,113.89522,50
2021-8-31 15:59:59,AMAT,Corto,Vela Elefante,133.93,136.45,2.52,19.84127,50
2021-8-31 15:59:59,AMD,Corto,Vela Elefante,109.72,111.19,1.47,34.01361,50
2021-8-31 15:59:59,ORCL,Corto,Vela Elefante,88.67,89.45,0.78,64.10256,50
