Fecha,Símbolo,Direccion,Jugada,Entrada,Stop,Riesgo,lotes,RU
2022-1-18 15:59:46,UAL,Corto,NBR,45.92,46.835,0.915,54.64481,50
2022-1-18 16:14:48,TWTR,Corto,VBS3,37.6037,38.2,0.5963,83.85041,50
2022-1-18 16:14:48,UAL,Corto,NBR,46.4499,46.915,0.4651,107.50376,50
2022-1-18 16:29:48,AAPL,Corto,VBS3,171.54,172.29,0.75,66.66667,50
2022-1-18 16:29:46,CVX,largo,VBS3,129.75,129.03,0.72,69.44444,50
2022-1-18 16:29:46,CVX,largo,VBS_ADX,129.75,129.03,0.72,69.44444,50
2022-1-18 16:29:48,TWTR,Corto,VBS3,37.8,38.15,0.35,142.85714,50
2022-1-18 16:59:47,CVX,largo,VBS3,129.515,128.84,0.675,74.07407,50
2022-1-18 16:59:47,CVX,largo,VBS_ADX,129.515,128.84,0.675,74.07407,50
2022-1-18 17:14:46,CVX,largo,VBS3,129.1,128.68,0.42,119.04762,50
2022-1-18 17:14:46,CVX,largo,VBS_ADX,129.1,128.68,0.42,119.04762,50
2022-1-18 17:14:47,VZ,Corto,VBS3,52.845,53.045,0.2,250,50
2022-1-18 17:14:47,XOM,largo,VBS3,73.24,72.87,0.37,135.13514,50
2022-1-18 17:14:47,XOM,largo,VBS_ADX,73.24,72.87,0.37,135.13514,50
2022-1-18 17:44:47,KO,Corto,NBR,60.89,61.075,0.185,270.27027,50
2022-1-18 18:59:47,MS,Corto,VBS3,93.3303,93.7,0.3697,135.24479,50
2022-1-18 19:14:47,AMAT,Largo,NBR,156.1775,155.42,0.7575,66.0066,50
2022-1-18 19:14:47,DIS,largo,VBS3,152.53,152.22,0.31,161.29032,50
2022-1-18 19:29:47,AMAT,Largo,NBR,155.8987,154.81,1.0887,45.92633,50
2022-1-18 19:29:46,JPM,Corto,VBS3,150.91,151.25,0.34,147.05882,50
2022-1-18 19:44:48,AAPL,Corto,VBS3,169.685,170.33,0.645,77.51938,50
2022-1-18 19:44:47,C,Corto,VBS3,65.135,65.4,0.265,188.67925,50
2022-1-18 19:44:47,C,Corto,VBS_ADX,65.135,65.4,0.265,188.67925,50
2022-1-18 19:44:47,GILD,Corto,VBS3,70.3,70.505,0.205,243.90244,50
