Fecha,Símbolo,Direccion,Jugada,Entrada,Stop,Riesgo,lotes,RU
2022-1-19 16:54:55,JPM,Corto,VBS_ADX,149.64,150.04,0.4,125,50
2022-1-19 16:59:56,AMD,Corto,VBS_ADX,129.86,130.56,0.7,71.42857,50
2022-1-19 16:59:54,UBER,Corto,VBS_ADX,37.38,37.58,0.2,250,50
2022-1-19 17:04:56,AMD,Corto,VBS_ADX,130.37,131.1,0.73,68.49315,50
2022-1-19 17:04:55,DIS,Corto,VBS_ADX,150.7,150.93,0.23,217.3913,50
2022-1-19 17:04:55,UBER,Corto,VBS_ADX,37.61,37.8168,0.2068,241.7795,50
2022-1-19 17:09:55,MCD,largo,VBS_ADX,257.11,256.88,0.23,217.3913,50
2022-1-19 17:19:55,UBER,Corto,VBS_ADX,37.565,37.81,0.245,204.08163,50
2022-1-19 17:34:56,SPXL,Corto,VBS_ADX,125.72,126.4,0.68,73.52941,50
2022-1-19 17:49:56,MSFT,Corto,VBS_ADX,307.55,308.05,0.5,100,50
2022-1-19 17:49:56,SPXL,Corto,VBS_ADX,125.965,126.48,0.515,97.08738,50
2022-1-19 17:54:57,AAPL,Corto,VBS_ADX,167.77,168.19,0.42,119.04762,50
2022-1-19 17:54:55,AMD,Corto,VBS_ADX,128.5501,129.19,0.6399,78.13721,50
2022-1-19 17:54:56,SPXL,Corto,VBS_ADX,126.2605,126.82,0.5595,89.3655,50
2022-1-19 17:59:57,AAPL,Corto,VBS_ADX,168.21,168.39,0.18,277.77778,50
2022-1-19 17:59:56,AMD,Corto,VBS_ADX,128.9,129.39,0.49,102.04082,50
2022-1-19 17:59:56,WYNN,Corto,VBS_ADX,89.85,90.01,0.16,312.5,50
2022-1-19 18:04:57,AAPL,Corto,VBS_ADX,168.51,168.67,0.16,312.5,50
2022-1-19 18:04:56,AMD,Corto,VBS_ADX,128.94,129.39,0.45,111.11111,50
2022-1-19 18:04:56,LVS,largo,VBS_ADX,44.302,44.15,0.152,328.94737,50
2022-1-19 18:09:55,UAL,Corto,VBS_ADX,44.72,44.805,0.085,588.23529,50
2022-1-19 18:24:55,MCD,largo,VBS_ADX,257.8514,257.73,0.1214,411.86161,50
2022-1-19 18:24:55,LVS,largo,VBS_ADX,44.62,44.5,0.12,416.66667,50
2022-1-19 18:24:56,WMT,largo,VBS_ADX,144.6621,144.52,0.1421,351.86488,50
2022-1-19 18:29:56,MCD,largo,VBS_ADX,257.84,257.65,0.19,263.15789,50
2022-1-19 18:34:54,MCD,largo,VBS_ADX,257.68,257.34,0.34,147.05882,50
2022-1-19 18:39:55,MCD,largo,VBS_ADX,257.5249,257.33,0.1949,256.54182,50
2022-1-19 18:39:54,LVS,largo,VBS_ADX,44.675,44.58,0.095,526.31579,50
2022-1-19 18:39:54,TGT,largo,VBS_ADX,226.3934,226.18,0.2134,234.30178,50
2022-1-19 18:39:54,WMT,largo,VBS_ADX,144.56,144.4,0.16,312.5,50
2022-1-19 18:39:55,WYNN,largo,VBS_ADX,90.9,90.73,0.17,294.11765,50
2022-1-19 18:44:54,DIS,largo,VBS_ADX,152.55,152.205,0.345,144.92754,50
2022-1-19 18:44:53,MCD,largo,VBS_ADX,257.45,257.27,0.18,277.77778,50
2022-1-19 18:44:54,LVS,largo,VBS_ADX,44.55,44.41,0.14,357.14286,50
2022-1-19 18:44:54,SPXL,largo,VBS_ADX,127.51,127.28,0.23,217.3913,50
2022-1-19 18:44:54,WMT,largo,VBS_ADX,144.5,144.345,0.155,322.58065,50
2022-1-19 18:44:53,WYNN,largo,VBS_ADX,90.66,90.51,0.15,333.33333,50
2022-1-19 18:49:54,GLD,largo,VBS_ADX,171.98,171.92,0.06,833.33333,50
2022-1-19 18:59:55,AAPL,largo,VBS_ADX,168.98,168.735,0.245,204.08163,50
2022-1-19 18:59:53,SPXL,largo,VBS_ADX,127.89,127.63,0.26,192.30769,50
2022-1-19 19:09:54,DIS,largo,VBS_ADX,152.465,152.24,0.225,222.22222,50
2022-1-19 19:09:55,MSFT,largo,VBS_ADX,311.05,310.6602,0.3898,128.27091,50
2022-1-19 19:24:55,MSFT,largo,VBS_ADX,310.68,310.34,0.34,147.05882,50
2022-1-19 19:29:55,MSFT,largo,VBS_ADX,310.61,310.22,0.39,128.20513,50
2022-1-19 20:04:56,GLD,largo,VBS_ADX,172.04,171.98,0.06,833.33333,50
2022-1-19 20:24:54,CVX,Corto,VBS_ADX,129.13,129.31,0.18,277.77778,50
2022-1-19 20:29:55,CVX,Corto,VBS_ADX,129.18,129.28,0.1,500,50
2022-1-19 20:39:54,AMAT,Corto,VBS_ADX,144.54,144.98,0.44,113.63636,50
2022-1-19 20:39:53,NUGT,Corto,VBS_ADX,52.2783,52.39,0.1117,447.62757,50
2022-1-19 20:44:55,CVX,Corto,VBS_ADX,129.153,129.38,0.227,220.26432,50
2022-1-19 20:44:53,LOW,Corto,VBS_ADX,236.17,236.61,0.44,113.63636,50
2022-1-19 20:44:54,NKE,Corto,VBS_ADX,145.99,146.33,0.34,147.05882,50
2022-1-19 20:44:55,MU,Corto,VBS_ADX,90.46,90.73,0.27,185.18519,50
